time model lmap smap view 
9951 0 0 0 0 
25924 94 674 22 16 
4103 0 0 0 0 
10039 0 0 0 0 
26402 219 852 21 15 
3593 0 0 0 0 
9950 0 0 0 0 
29183 172 863 21 14 
894 0 0 0 0 
9972 0 0 0 0 
26602 228 869 25 16 
3331 0 0 0 0 
10067 0 0 0 0 
9998 0 0 0 0 
26667 176 836 21 14 
3317 0 0 0 0 
10019 0 0 0 0 
26415 218 869 22 15 
3586 0 0 0 0 
9942 0 0 0 0 
26175 93 680 21 16 
3885 0 0 0 0 
9985 0 0 0 0 
26134 197 853 21 16 
3871 0 0 0 0 
10009 0 0 0 0 
28902 175 822 21 15 
1099 0 0 0 0 
10000 0 0 0 0 
26544 178 836 22 15 
3415 0 0 0 0 
10024 0 0 0 0 
10004 0 0 0 0 
26738 245 866 22 16 
3232 0 0 0 0 
10037 0 0 0 0 
26120 178 840 21 16 
3815 0 0 0 0 
10035 0 0 0 0 
25914 294 704 21 16 
4196 0 0 0 0 
9922 0 0 0 0 
25561 243 641 22 16 
4516 0 0 0 0 
9943 0 0 0 0 
29547 206 831 20 14 
403 0 0 0 0 
10029 0 0 0 0 
26770 189 863 22 15 
3200 0 0 0 0 
10053 0 0 0 0 
9965 0 0 0 0 
26519 206 855 22 16 
3480 0 0 0 0 
10005 0 0 0 0 
26562 196 848 22 15 
3437 0 0 0 0 
10022 0 0 0 0 
26290 128 697 22 15 
3701 0 0 0 0 
9955 0 0 0 0 
26701 226 866 22 16 
3345 0 0 0 0 
9986 0 0 0 0 
29346 191 883 22 14 
664 0 0 0 0 
10004 0 0 0 0 
26442 177 877 22 15 
3504 0 0 0 0 
10023 0 0 0 0 
10008 0 0 0 0 
27451 195 910 22 15 
2537 0 0 0 0 
10010 0 0 0 0 
26214 197 894 22 16 
3798 0 0 0 0 
9986 0 0 0 0 
26226 197 786 23 16 
3789 0 0 0 0 
10009 0 0 0 0 
26180 200 900 22 16 
3832 0 0 0 0 
9976 0 0 0 0 
27451 182 851 21 15 
2483 0 0 0 0 
10096 0 0 0 0 
26097 220 883 25 16 
3935 0 0 0 0 
9960 0 0 0 0 
9966 0 0 0 0 
25816 200 856 23 16 
4243 0 0 0 0 
9953 0 0 0 0 
26070 226 830 23 16 
3984 0 0 0 0 
10015 0 0 0 0 
25674 178 713 22 16 
4256 0 0 0 0 
10090 0 0 0 0 
25782 176 672 22 16 
4218 0 0 0 0 
9909 0 0 0 0 
26972 237 819 22 15 
3011 0 0 0 0 
10018 0 0 0 0 
26099 232 812 23 16 
3999 0 0 0 0 
9991 0 0 0 0 
9940 0 0 0 0 
25879 241 792 24 16 
4164 0 0 0 0 
9942 0 0 0 0 
25910 182 847 23 15 
4165 0 0 0 0 
10003 0 0 0 0 
25895 180 743 23 16 
4029 0 0 0 0 
10077 0 0 0 0 
25640 179 732 24 16 
4248 0 0 0 0 
10031 0 0 0 0 
26447 238 865 24 16 
3554 0 0 0 0 
9990 0 0 0 0 
25715 242 863 22 16 
4322 0 0 0 0 
9944 0 0 0 0 
10014 0 0 0 0 
25777 239 809 22 15 
4263 0 0 0 0 
9943 0 0 0 0 
25707 243 813 23 16 
4403 0 0 0 0 
9892 0 0 0 0 
25526 198 861 23 15 
4474 0 0 0 0 
10003 0 0 0 0 
25473 212 819 23 15 
4552 0 0 0 0 
10076 0 0 0 0 
25924 172 877 24 16 
4104 0 0 0 0 
9921 0 0 0 0 
25270 194 720 24 16 
4763 0 0 0 0 
9942 0 0 0 0 
9967 0 0 0 0 
25496 196 829 22 16 
4504 0 0 0 0 
10005 0 0 0 0 
25671 195 858 23 16 
4330 0 0 0 0 
10056 0 0 0 0 
25558 176 809 24 15 
4387 0 0 0 0 
10030 0 0 0 0 
26201 230 815 23 16 
3787 0 0 0 0 
10065 0 0 0 0 
26949 174 826 25 17 
3001 0 0 0 0 
9967 0 0 0 0 
26227 199 743 23 16 
3802 0 0 0 0 
9965 0 0 0 0 
9997 0 0 0 0 
26247 198 861 23 16 
3791 0 0 0 0 
9998 0 0 0 0 
26212 176 851 23 15 
3790 0 0 0 0 
9969 0 0 0 0 
26225 194 885 23 15 
3858 0 0 0 0 
9913 0 0 0 0 
26296 224 858 23 16 
3670 0 0 0 0 
10090 0 0 0 0 
26321 192 709 28 16 
3628 0 0 0 0 
9996 0 0 0 0 
26769 198 907 23 16 
3373 0 0 0 0 
9860 0 0 0 0 
10001 0 0 0 0 
26428 197 916 24 17 
3604 0 0 0 0 
10000 0 0 0 0 
26252 179 848 23 16 
3845 0 0 0 0 
9906 0 0 0 0 
26205 221 721 24 15 
3811 0 0 0 0 
9997 0 0 0 0 
26131 222 849 23 15 
3840 0 0 0 0 
9984 0 0 0 0 
26610 239 756 24 16 
3362 0 0 0 0 
10033 0 0 0 0 
26127 242 816 24 15 
3898 0 0 0 0 
9999 0 0 0 0 
9963 0 0 0 0 
26539 264 842 24 15 
3501 0 0 0 0 
9963 0 0 0 0 
30027 250 865 27 17 
9999 0 0 0 0 
26517 245 885 26 17 
3432 0 0 0 0 
10058 0 0 0 0 
25944 248 814 25 16 
4044 0 0 0 0 
10063 0 0 0 0 
25862 173 760 29 18 
4089 0 0 0 0 
9995 0 0 0 0 
25876 228 863 43 17 
4116 0 0 0 0 
10010 0 0 0 0 
10004 0 0 0 0 
26008 177 851 24 39 
3994 0 0 0 0 
10013 0 0 0 0 
